Name,Citation_Count,Degree_Centrality,Clustering_Coefficient,Eigenvector_Centrality,Efficiency,K_core
Aya+Kasai,-0.217824871411,-0.625991647977,-1.96517671978,-0.0498425058093,0.609458273245,-1.07945869346
Qingle+Wang,-0.217824871411,-0.295793219647,0.758528741655,-0.0488767340896,0.609458273245,-0.269818193056
Valeria+Bragaglia,-0.217824871411,0.364603637014,0.758528741655,-0.0480564711092,0.609458273245,1.34946280775
Juliette+Stehlé,-0.10306105519,-0.405859362424,0.758528741655,-0.0493439423837,0.609458273245,-0.539698359857
Bogumiła+Świeżewska,-0.116832713137,-0.625991647977,-1.96517671978,-0.0498445804082,0.609458273245,-1.07945869346
Sophie+Schuller,-0.204053213464,-0.0756609340933,0.758528741655,-0.0497982366647,0.609458273245,0.269942140546
Martine+Ben Amar,0.801277816625,1.13506663645,-1.70482252126,-0.0496058138818,-2.84296953871,0.539822307348
Beatrice+Paoli,-0.217824871411,-0.18572707687,0.758528741655,-0.0498190476437,0.609458273245,6.19737451752e-05
Alba D.+Craft,-0.190281555518,-0.625991647977,-1.96517671978,-0.0497813196021,0.609458273245,-1.07945869346
Karen A.+Yates,-0.213234318762,0.14447135146,0.758528741655,-0.0473976587627,0.609458273245,0.809702474149
Cornelia+Schwarz,-0.217824871411,0.14447135146,0.758528741655,-0.049716241582,0.609458273245,0.809702474149
Valentina+Morandi,-0.199462660815,-0.405859362424,0.758528741655,-0.0497351022926,0.609458273245,-0.539698359857
Elizabeth A.+Lucek,-0.217824871411,0.14447135146,0.758528741655,-0.0498453367656,0.609458273245,0.809702474149
Marie-Hélène+Nadal,-0.204053213464,-0.405859362424,0.758528741655,-0.0498360249434,0.609458273245,-0.539698359857
Emiko+Yasuno,-0.213234318762,-0.295793219647,0.758528741655,-0.0498436038016,0.609458273245,-0.269818193056
Maureen+MacKenzie,-0.126013818435,0.14447135146,-0.700599184114,-0.0489754967694,-1.17990980002,6.19737451752e-05
Thalia T.+Mills,-0.199462660815,-0.405859362424,0.758528741655,-0.0497648296937,0.609458273245,-0.539698359857
Anna+Minguzzi,0.557978526238,3.88672020587,-1.66465172694,-0.0424239834569,-3.03348111313,1.34946280775
Laure+Petit,-0.217824871411,-0.405859362424,0.758528741655,-0.0498443847766,0.609458273245,-0.539698359857
Soumya+C.,-0.217824871411,-0.625991647977,-1.96517671978,-0.0498394304882,0.609458273245,-1.07945869346
Sophie+Loire,-0.217824871411,-0.5159255052,0.758528741655,-0.0498431315511,0.609458273245,-0.809578526659
Elsa+Lhotel,-0.121423265786,1.46526506478,-1.13372978945,-0.046259440996,-2.08993127729,1.34946280775
Polina+Tereshchuk,-0.213234318762,-0.625991647977,-1.96517671978,-0.0485018171437,0.609458273245,-1.07945869346
Holly K.+Cummins,0.218277630226,0.0344052086834,0.110027441313,-0.0498302928531,-0.157413758156,0.269942140546
Ashley+Willis,-0.199462660815,-0.405859362424,0.758528741655,-0.0498339513637,0.609458273245,-0.539698359857
Liliana+Stan,-0.213234318762,-0.18572707687,0.758528741655,-0.0494737843414,0.609458273245,6.19737451752e-05
Rebecca+Dally,-0.126013818435,1.46526506478,-0.689335740477,0.2563881617,-1.45598373133,2.96874380856
"Mita+Ghosh,",-0.213234318762,-0.5159255052,0.758528741655,-0.0488807861873,0.609458273245,-0.809578526659
Margarida+Godinho,-0.204053213464,1.02500049367,-0.875694535207,-0.0493586035315,-1.66409174926,0.809702474149
Archer+Hoyt,0.259592604065,-0.295793219647,-1.96517671978,-0.0469567401411,-1.96723175226,-0.539698359857
Ingrid+Sluimer,-0.135194923732,0.0344052086834,0.758528741655,-0.0498168463514,0.609458273245,0.539822307348
Martina+Brisudova,-0.204053213464,-0.5159255052,0.758528741655,-0.0497859859857,0.609458273245,-0.809578526659
Christina+Bauer,-0.208643766113,-0.5159255052,0.758528741655,-0.0498261344053,0.609458273245,-0.809578526659
Laura+Finzi,-0.213234318762,-0.295793219647,0.758528741655,-0.0496663326839,0.609458273245,-0.269818193056
Karen+Lee,-0.185691002869,-0.0756609340933,0.758528741655,-0.0497733760051,0.609458273245,0.269942140546
Eylene+Pirez,-0.208643766113,0.364603637014,0.758528741655,-0.0498452499634,0.609458273245,1.34946280775
Mahdokht+Masaeli,-0.208643766113,0.14447135146,0.758528741655,-0.0498449764796,0.609458273245,0.809702474149
Sara+Núñez,-0.217824871411,-0.5159255052,0.758528741655,-0.0498417706218,0.609458273245,-0.809578526659
Yiruo+Lin,-0.194872108167,-0.625991647977,-1.96517671978,-0.0496862008303,0.609458273245,-1.07945869346
Agnese+Callegari,-0.208643766113,-0.405859362424,0.758528741655,-0.0498354583924,0.609458273245,-0.539698359857
Shirin+Jamali,-0.208643766113,-0.18572707687,0.758528741655,-0.0485007336546,0.609458273245,6.19737451752e-05
Srabani+Kar,-0.217824871411,-0.405859362424,0.758528741655,-0.0340852539882,0.609458273245,-0.539698359857
Bhumika+Thakur,-0.208643766113,-0.5159255052,0.758528741655,-0.0498391964783,0.609458273245,-0.809578526659
Magdalena+Djordjevic,0.337631999095,-0.0756609340933,-1.42043562749,-0.0271184349931,-1.84453222724,-0.809578526659
Elizabeth A.+Rogers,-0.18110045022,-0.18572707687,0.758528741655,-0.0492049212148,0.609458273245,6.19737451752e-05
Joan M.+Freeman,0.0576082875178,-0.625991647977,-1.96517671978,-0.0496073883839,0.609458273245,-1.07945869346
Chuntian+Cao,-0.217824871411,0.0344052086834,0.758528741655,-0.048767600189,0.609458273245,0.539822307348
Erika J.+Palin,-0.194872108167,-0.18572707687,0.758528741655,-0.0495674240234,0.609458273245,6.19737451752e-05
Olga+Vizika,-0.199462660815,-0.18572707687,0.758528741655,-0.049832924808,0.609458273245,6.19737451752e-05
Qiaohe+Yu,-0.217824871411,0.804868208121,0.758528741655,-0.0337601071824,0.609458273245,2.42898347496
Mónica S. N.+Oliveira,-0.204053213464,-0.405859362424,0.758528741655,-0.0497769308831,0.609458273245,-0.539698359857
Céline+Léonard,-0.204053213464,-0.295793219647,0.758528741655,-0.049844424272,0.609458273245,-0.269818193056
Karen V.+Kheruntsyan,0.030064971625,0.474669779791,-1.02426028765,-0.0495575701808,-1.73298720449,0.269942140546
Abir+De Sarkar,-0.139785476381,-0.18572707687,0.758528741655,-0.0478807660006,0.609458273245,6.19737451752e-05
Lisa D.+Stout,-0.204053213464,-0.405859362424,0.758528741655,-0.0464973690121,0.609458273245,-0.539698359857
Laura M.+Pérez,-0.217824871411,1.02500049367,0.758528741655,-0.0488117419367,0.609458273245,2.96874380856
Leslie+Wade,-0.0112500022143,0.364603637014,-0.633587383079,-0.0497365804026,-1.18641659302,0.539822307348
Shyamolina+Ghosh,-0.199462660815,-0.5159255052,0.758528741655,-0.04978383659,0.609458273245,-0.809578526659
Gay+Stewart,-0.167328792274,0.0344052086834,-0.927574639234,-0.0498071612756,-1.3844090084,-0.539698359857
