Name,Citation_Count,Degree_Centrality,Clustering_Coefficient,Eigenvector_Centrality,Efficiency,K_core
Lesley+De Cruz,12,7.424713406062525e-06,1.0,3.0522487180036697e-10,1.0,3
Daniela+Milović,2,7.424713406062525e-06,1.0,1.9202466085794854e-08,1.0,3
Ellyn A.+King,20,4.9498089373750174e-05,0.39473684210526316,2.1636636909855412e-07,0.7261904761904762,10
Sujata+Patil,8,1.484942681212505e-05,1.0,2.003649132657261e-05,1.0,6
Hsi-Tseng+Chen,13,2.2274140218187576e-05,0.2222222222222222,7.041668473496103e-05,0.6888888888888889,7
Katy+Hally,12,4.949808937375017e-06,1.0,7.381704531291518e-09,1.0,2
Isabelle+Cantat,76,7.424713406062525e-05,0.1425287356321839,2.4102738734711514e-07,0.5989247311827957,7
Meera+Chandrasekhar,369,8.167184746668778e-05,0.1571969696969697,7.760054778195576e-05,0.6033868092691622,14
Ivana+Bochicchio,4,9.899617874750034e-06,1.0,3.2678276826898515e-10,1.0,4
Sara M.+Rupich,1,2.7223949155562594e-05,0.4909090909090909,3.028926827720186e-08,0.7878787878787878,7
Itsuko S.+Suzuki,96,0.00010394598768487536,0.1207897793263647,7.037264503300373e-06,0.5808416389811739,12
Neelima+Agarwal,11,1.2374522343437543e-05,0.8,1.1583834592831236e-08,0.9333333333333333,4
Katharina+Boguslawski,4,1.484942681212505e-05,0.7333333333333333,1.6696759945926733e-09,0.9047619047619048,5
Laleh+Safari,4,2.96988536242501e-05,0.9090909090909091,3.00875212334637e-08,0.9615384615384616,11
Inbal+Friedler,88,1.732433128081256e-05,0.42857142857142855,8.381909368416139e-08,0.7857142857142857,6
Petrina+Delivani,0,1.732433128081256e-05,1.0,9.103616127008066e-09,1.0,7
Britt N.+Thomas,61,1.979923574950007e-05,0.7857142857142857,2.423306424816381e-07,0.9166666666666666,7
Françoise+Lépine,4,4.949808937375017e-06,1.0,1.2157361956989517e-08,1.0,2
Kentarou+Kinoshita,12,1.979923574950007e-05,1.0,3.58942145498414e-07,1.0,8
Raenell+Soller,14,4.949808937375017e-06,1.0,6.326686696147717e-10,1.0,2
Melissa+Spannuth,2,9.899617874750034e-06,0.5,1.6733716494181538e-06,0.85,4
Emily C.+Jones,13,9.899617874750034e-06,1.0,3.833632744650047e-06,1.0,4
Lydia+Munday,4,2.96988536242501e-05,1.0,7.556297115533239e-07,1.0,12
Marjorie E.+Boyd,2,4.949808937375017e-06,0.0,3.839653538675569e-08,0.8333333333333334,2
Anca E.+Popescu,6,7.424713406062525e-06,1.0,3.158194875638587e-08,1.0,3
Hélène+Ward,17,2.4749044686875086e-06,0.0,5.345649104092908e-09,1.0,1
Monique+Dubois,1,1.2374522343437543e-05,1.0,2.6312562147916647e-09,1.0,5
Patricia+Burriel,2,7.424713406062525e-06,1.0,6.764496634614501e-08,1.0,3
Raybel+Almeida,0,1.2374522343437543e-05,1.0,9.342069821674169e-08,1.0,5
Karina I.+Mazzitello,0,4.949808937375017e-06,1.0,1.1575958294579726e-08,1.0,2
Kripa K.+Varanasi,4,1.732433128081256e-05,0.6190476190476191,8.417017879003598e-11,0.8571428571428571,5
Marie-José+Casanove,6,1.484942681212505e-05,0.7333333333333333,1.8211426482583942e-09,0.9047619047619048,4
Fariba+Hatami,0,9.899617874750034e-06,1.0,6.84890561026309e-08,1.0,4
Krista+Joosten,1,2.4749044686875086e-06,0.0,3.145656505214292e-11,1.0,1
Elena+Díaz,7,1.484942681212505e-05,0.6,4.935294708958576e-08,0.8571428571428571,4
Regina+Ragan,1,9.899617874750034e-06,1.0,2.781451141740116e-08,1.0,4
Mercedes+Velázquez,7,7.424713406062525e-06,1.0,2.3385273515285394e-10,1.0,3
Leyla+Sutcu,1,4.949808937375017e-06,1.0,1.0927256857593882e-06,1.0,2
Leigh+Page,185,1.2374522343437543e-05,0.0,2.0259416507730704e-09,0.6666666666666666,2
Etsuko+Toyoda,6,4.949808937375017e-06,1.0,5.537376639071109e-08,1.0,2
Katarzyna+Pleskacz,1,9.899617874750034e-06,1.0,1.7204673624455614e-08,1.0,4
Hilde+Hardtdegen,28,1.979923574950007e-05,0.4642857142857143,9.095556538212816e-08,0.7916666666666666,4
Marlene+Glauser,9,3.712356703031263e-05,0.7714285714285715,5.169300246738788e-08,0.9,11
Jamila+Bouchgl,0,4.949808937375017e-06,1.0,4.550928276866843e-14,1.0,2
Christine+Ziehmann,9,1.2374522343437543e-05,1.0,1.7202265825465873e-08,1.0,5
Debjani+Chatterjee,0,2.4749044686875086e-06,0.0,1.0223509500824218e-07,1.0,1
Estitxu+Villamor,62,3.959847149900014e-05,0.6333333333333333,2.197680164543085e-06,0.8382352941176471,11
Mayra+Peralta,0,9.899617874750034e-06,1.0,4.66908043963649e-08,1.0,4
Françoise+Delbecq,2,1.484942681212505e-05,0.4,3.093142117981153e-08,0.7857142857142857,3
Katerina+Moloni,29,1.484942681212505e-05,1.0,1.0672773117902465e-05,1.0,6
Changehoon+Heo,7,1.2374522343437543e-05,1.0,8.807989752785096e-07,1.0,5
Fotini+Markopoulou,72,2.2274140218187576e-05,0.4166666666666667,9.513915377427787e-08,0.7666666666666667,6
Susan M.+Clark,39,1.2374522343437543e-05,1.0,8.717135421352713e-07,1.0,5
Giulia+Cencetti,2,9.899617874750034e-06,1.0,1.1727970137842977e-08,1.0,4
